level,name,ot_90,ot_bu90,ot_tdfp90,ot_mint90,ot_95,ot_bu95,ot_tdfp95,ot_mint95,ot_99,ot_bu99,ot_tdfp99,ot_mint99
1,ets_base,1.21539199980532,1.1033741758864535,1.21539199980532,1.113103283569444,1.1987671005597655,1.1934404241253276,1.1987671005597655,1.1422857654219392,1.1975930287469012,1.497648631851365,1.1975930287469012,1.2412774148188856
1,ets_bu,1.0949227155734214,1.1033741758864535,1.0949227155734214,1.0669858677778166,1.0837049423687355,1.1934404241253276,1.0837049423687355,1.0943485049429937,1.0876407426446988,1.497648631851365,1.0876407426446988,1.1851443890545255
1,ets_mint,1.1519675070672244,1.1200574271644363,1.1519675070672244,1.0983474371421025,1.1357994365341444,1.1953617997271182,1.1357994365341444,1.1164540593366528,1.1296974473534047,1.4524834409677356,1.1296974473534047,1.1992005355488264
1,ets_td,1.21539199980532,1.1849508448705783,1.21539199980532,1.1548972370363337,1.1987671005597655,1.2895445867348663,1.1987671005597655,1.185114913689595,1.1975930287469012,1.6151630413889142,1.1975930287469012,1.29915547172069
1,lgb_base,1.5591662001082587,1.3333037823643294,1.5591662001082587,1.3734638640751151,1.545223076658433,1.4301584032237387,1.545223076658433,1.3988709980713812,1.5409059341162807,1.7455856964189045,1.5409059341162807,1.5049107437421732
1,lgb_bu,1.4737020184758531,1.3333037823643294,1.4737020184758531,1.3432800152094682,1.4605397433513583,1.4301584032237387,1.4605397433513583,1.3705957330060228,1.4560157411873873,1.7455856964189045,1.4560157411873873,1.4736207425092538
1,lgb_mint,1.497469390320888,1.3435703416288118,1.497469390320888,1.3550826091357655,1.4812830955172844,1.4418649870590041,1.4812830955172844,1.3809201614497535,1.4714871737705493,1.7332427274214748,1.4714871737705493,1.4826490337741969
1,lgb_td,1.5591662001082587,1.3895629017085653,1.5591662001082587,1.4097116638396003,1.545223076658433,1.5030929693418522,1.545223076658433,1.4410096685791605,1.5409059341162807,1.8241628580533549,1.5409059341162807,1.5566041530385664
2,ets_base,1.0771202724813829,1.0616373030527353,1.1124733381997147,1.0619640008107223,1.0870405369995881,1.1129730436435317,1.1092053253092724,1.0799951567480781,1.1289778171491138,1.267243126662907,1.113071353051858,1.1411449385811447
2,ets_bu,1.0430428915733014,1.0616373030527353,1.047110612664483,1.0388097617749006,1.0539319394450477,1.1129730436435317,1.0440328090668298,1.0570317260652848,1.0959453307310816,1.267243126662907,1.0499495083356363,1.1155376352193838
2,ets_mint,1.0631882229580947,1.0596742015846485,1.07394314884716,1.0477227055463694,1.0681014760898757,1.1066529226218165,1.0684993156521843,1.060487689418128,1.101112915257047,1.2427809580306461,1.0699330956358253,1.1101480898532161
2,ets_td,1.0969323908061648,1.1016033154743006,1.1079594535683834,1.0844332902568705,1.1074588772517675,1.1594487849137427,1.1043667743236565,1.1017815494656398,1.1501117102659677,1.3224183710835258,1.108274759270562,1.1668383026409828
2,lgb_base,1.3852058711990862,1.288819470909887,1.4433696867885144,1.3108118516654532,1.3943131691428476,1.3441467613636888,1.4395256681715665,1.3286860881911802,1.4342824035222907,1.5061847570535736,1.4388799421846878,1.393735285971659
2,lgb_bu,1.3568478723184407,1.288819470909887,1.3884543305251118,1.2952217145707976,1.364318959554609,1.3441467613636888,1.3839499537524622,1.3127201410872582,1.401828097708144,1.5061847570535736,1.3850929388772624,1.373975147737535
2,lgb_mint,1.3624130611650571,1.292351982269975,1.399807480280744,1.301026641702392,1.3690917823548923,1.3474882862460493,1.3956919292948848,1.3178759730665743,1.4048895210452592,1.5057513374158702,1.3943999977886758,1.3780866146197983
2,lgb_td,1.401179459344208,1.3167934700863895,1.4378473029831078,1.3307509067127223,1.4134024599497532,1.378369713151139,1.4351474207235941,1.3517093838921699,1.4547441213773185,1.5544049164400722,1.4343178956629459,1.4214865564867758
3,ets_base,1.0282436504637007,1.0282436504637007,1.0283583609605773,1.018411850592975,1.0530068367134173,1.0530068367134173,1.0289675069904987,1.028447535917974,1.125451499995903,1.125451499995903,1.0336876721230206,1.0604531286758174
3,ets_bu,1.0282436504637007,1.0282436504637007,1.0039973832029123,1.0133674576894687,1.0530068367134173,1.0530068367134173,1.004489097241231,1.023204394619349,1.125451499995903,1.125451499995903,1.0095339527594827,1.05425561769344
3,ets_mint,1.011777682156119,1.011777682156119,1.0035425158773292,1.0003783083863873,1.0358778350183235,1.0358778350183235,1.0034169169844693,1.007396676899318,1.098966787315359,1.098966787315359,1.0062307397164107,1.0347153666319777
3,ets_td,1.0389951579795016,1.0389951579795016,1.0230325735348071,1.0246074794833016,1.065916178335634,1.065916178335634,1.0233197303526647,1.0349033229899873,1.1406510606183142,1.1406510606183142,1.0277625037202875,1.067799679844203
3,lgb_base,1.2474738876271583,1.2474738876271583,1.2671342224816802,1.2270005967139814,1.277147235528855,1.277147235528855,1.266585808571851,1.238984775577719,1.355631445286637,1.355631445286637,1.2712947060159883,1.2765232793585808
3,lgb_bu,1.2474738876271583,1.2474738876271583,1.253559651670051,1.2240086539546398,1.277147235528855,1.277147235528855,1.2537820202867742,1.23676504417217,1.355631445286637,1.355631445286637,1.2594971840959146,1.270998454871815
3,lgb_mint,1.2434114119173951,1.2434114119173951,1.2462202429545584,1.2211216334623516,1.2724675780600254,1.2724675780600254,1.245819263088284,1.2324897589777142,1.3486536209946947,1.3486536209946947,1.2497731258763396,1.2667681462810014
3,lgb_td,1.2403718739779352,1.2403718739779352,1.2596514300623363,1.2188240340565777,1.2716384656975055,1.2716384656975055,1.2594655025270014,1.231593631568882,1.3573859228859488,1.3573859228859488,1.2624636770149718,1.2716126270205905
