method,level,ot_90_incoherence_ratio,ot_95_incoherence_ratio,ot_99_incoherence_ratio
ets_base,1,0.044987582172047964,0.048458914060748516,0.05477530828121061
ets_base,2,0.06856964457030566,0.07565853399693977,0.08831974606324423
ets_bu,1,0.025231779760955773,0.02874786065576567,0.03516372537199441
ets_bu,2,0.056404485538151,0.06360150629447779,0.0764575369960096
ets_mint,1,0.03417708904701071,0.03758250942915805,0.04379947827851555
ets_mint,2,0.07408126311984871,0.08076904293160553,0.09276441120954806
ets_td,1,0.03232661429620302,0.035874979700008594,0.0423322081666903
ets_td,2,0.06325036715472035,0.07038976178019334,0.08313903610171781
lgb_base,1,0.10316294094619444,0.10658261266998871,0.11277866718035873
lgb_base,2,0.15392160513678405,0.16027124616839108,0.17158784947915362
lgb_bu,1,0.07133364760581336,0.0746645820489251,0.08068971068036458
lgb_bu,2,0.1379144033496595,0.14430075279908067,0.15566744182458164
lgb_mint,1,0.07046113223251385,0.0739634253851503,0.08031362497298944
lgb_mint,2,0.1338292495272324,0.1404142887864034,0.15213972495948466
lgb_td,1,0.07324092471723802,0.07685241323243806,0.08338360149694912
lgb_td,2,0.13140536227225824,0.1380754983638197,0.14993721370732496
